ingr,Potassium,Copper,Dietary Fiber,Selenium,Phosphorus,Choline,Vitamin D,Folate,Cholesterol,Sodium,Niacin,carbohydrates,Thiamin,Zinc,Fat,Vitamin B12,Protein,Vitamin E,Vitamin B6,Vitamin A,Iron,Calcium,Saturated fat,Riboflavin,Vitamin C,Magnesium,Vitamin K
veal,286.0,0.125,0.4,10.0,153.0,64.8,0.0,27.0,68.0,144.0,6.34,6.52,0.088,1.83,8.56,0.66,16.7,0.65,0.191,39.0,1.07,9.0,3.91,0.261,1.4,21.0,19.6
venison,231.0,0.204,0.0,12.4,188.0,94.5,0.0,8.0,80.0,345.0,5.26,1.58,0.114,6.04,3.53,2.13,25.5,0.55,0.342,0.0,3.52,7.0,1.75,0.473,0.0,20.0,1.2
vermouth,92.0,0.045,0.0,0.5,9.0,5.0,0.0,0.0,0.0,9.0,0.213,13.7,0.018,0.07,0.0,0.0,0.2,0.0,0.0,0.0,0.24,8.0,0.0,0.018,0.0,9.0,0.0
vinegar,73.0,0.008,0.0,0.1,8.0,0.0,0.0,0.0,0.0,5.0,0.0,0.93,0.0,0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.2,7.0,0.0,0.0,0.0,5.0,0.0
vodka,2.0,0.021,0.0,0.0,4.0,0.0,0.0,0.0,0.0,1.0,0.013,0.0,0.006,0.04,0.0,0.0,0.0,0.0,0.001,0.0,0.04,0.0,0.0,0.004,0.0,0.0,0.0
waffle,260.0,0.171,2.9,11.3,371.0,55.5,0.9,69.0,65.0,521.0,1.47,48.6,0.247,1.26,22.6,0.54,9.1,1.9,0.154,86.0,2.0,248.0,7.9,0.329,0.0,35.0,15.4
walnut,0.0,0.0,0.0,0.0,0.0,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.4,0.0,0.0,0.0,0.0,9.1,0.0,0.0,0.0,15.0
wasabi,182.0,0.055,6.1,2.2,26.0,2.3,0.0,10.0,0.0,3390.0,0.16,46.1,0.05,0.61,10.9,0.0,2.23,3.91,0.05,0.0,0.5,41.0,2.03,0.07,0.0,21.0,3.5
watercress,344.0,0.08,0.5,0.9,63.0,9.6,0.0,7.0,2.0,174.0,0.198,1.35,0.084,0.12,2.83,0.0,2.4,1.36,0.145,170.0,0.21,125.0,0.803,0.119,31.3,22.0,263.0
watermelon,112.0,0.042,0.4,0.4,11.0,4.1,0.0,3.0,0.0,1.0,0.178,7.55,0.033,0.1,0.15,0.0,0.61,0.05,0.045,28.0,0.24,7.0,0.016,0.021,8.1,10.0,0.1
whiskey,2.0,0.021,0.0,0.0,4.0,0.0,0.0,0.0,0.0,1.0,0.013,0.0,0.006,0.04,0.0,0.0,0.0,0.0,0.001,0.0,0.04,0.0,0.0,0.004,0.0,0.0,0.0
white wine,71.0,0.004,0.0,0.1,18.0,4.3,0.0,1.0,0.0,5.0,0.108,2.6,0.005,0.12,0.0,0.0,0.07,0.0,0.05,0.0,0.27,9.0,0.0,0.015,0.0,10.0,0.4
whole wheat,165.0,0.175,4.1,28.7,142.0,9.8,0.0,108.0,0.0,439.0,3.37,48.9,0.403,1.1,1.53,0.0,10.2,0.32,0.147,0.0,2.76,105.0,0.0,0.209,0.0,51.0,1.5
wild rice,81.0,0.105,1.2,2.7,89.0,7.3,0.1,10.0,0.0,293.0,1.68,19.3,0.071,0.99,2.14,0.0,2.76,0.35,0.106,16.0,0.39,7.0,0.395,0.04,0.0,37.0,2.4
wine,25.0,0.009,0.0,1.4,6.0,0.0,0.0,0.0,0.0,2.0,0.0,5.0,0.0,0.02,0.0,0.0,0.5,0.0,0.0,0.0,0.1,5.0,0.0,0.0,0.0,6.0,0.0
yogurt,146.0,0.013,0.1,2.8,85.0,15.0,0.8,7.0,58.0,43.0,0.083,11.8,0.028,0.46,18.3,0.29,3.45,0.47,0.04,208.0,0.1,103.0,11.7,0.179,2.4,11.0,1.7
yuca,247.0,0.091,1.6,0.6,25.0,21.6,0.0,22.0,0.0,154.0,0.74,34.7,0.063,0.31,13.9,0.0,1.24,1.78,0.076,1.0,0.27,15.0,1.94,0.042,15.0,19.0,17.9
zucchini,157.0,0.063,0.9,12.2,111.0,31.7,0.5,59.0,39.0,292.0,1.47,42.4,0.179,0.48,12.9,0.15,4.93,1.46,0.078,32.0,1.69,137.0,2.18,0.209,3.0,15.0,14.3
