ingr,Potassium,Copper,Dietary Fiber,Selenium,Phosphorus,Choline,Vitamin D,Folate,Cholesterol,Sodium,Niacin,carbohydrates,Thiamin,Zinc,Fat,Vitamin B12,Protein,Vitamin E,Vitamin B6,Vitamin A,Iron,Calcium,Saturated fat,Riboflavin,Vitamin C,Magnesium,Vitamin K
honey,52.0,0.036,0.2,0.8,4.0,2.2,0.0,2.0,0.0,4.0,0.121,82.4,0.0,0.22,0.0,0.0,0.3,0.0,0.024,0.0,0.42,6.0,0.0,0.038,0.5,2.0,0.0
honeydew,228.0,0.024,0.8,0.7,11.0,7.6,0.0,19.0,0.0,18.0,0.418,9.09,0.038,0.09,0.14,0.0,0.54,0.02,0.088,3.0,0.17,6.0,0.038,0.012,18.0,10.0,2.9
horseradish,246.0,0.058,3.3,2.8,31.0,6.5,0.0,57.0,0.0,420.0,0.386,11.3,0.008,0.83,0.69,0.0,1.18,0.01,0.073,0.0,0.42,56.0,0.09,0.024,24.9,27.0,1.3
hot pepper,113.0,0.045,2.6,0.4,13.0,8.9,0.0,13.0,0.0,1430.0,0.343,4.56,0.037,0.09,0.4,0.0,0.8,0.9,0.105,43.0,0.32,61.0,0.061,0.023,12.3,6.0,21.9
hummus,252.0,0.505,5.9,8.7,234.0,28.5,0.0,112.0,0.0,471.0,1.37,19.6,0.301,1.74,17.7,0.0,8.1,1.13,0.125,4.0,3.32,111.0,2.4,0.129,6.3,46.0,5.9
ice cream,126.0,0.028,0.5,3.6,124.0,43.5,0.3,22.0,60.0,174.0,0.308,39.9,0.07,0.47,14.5,0.27,3.24,0.74,0.046,75.0,0.58,95.0,4.86,0.155,0.3,10.0,3.6
iced coffee,38.0,0.004,0.0,0.0,2.0,2.0,0.0,2.0,0.0,2.0,0.146,0.0,0.011,0.02,0.02,0.0,0.09,0.01,0.001,0.0,0.01,2.0,0.002,0.058,0.0,3.0,0.1
iced tea,12.0,0.005,0.0,0.0,31.0,0.0,0.0,0.0,0.0,21.0,0.0,6.2,0.0,0.01,0.22,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
jam,77.0,0.1,1.1,2.0,19.0,10.2,0.0,11.0,0.0,32.0,0.036,68.9,0.016,0.06,0.07,0.0,0.37,0.12,0.02,0.0,0.49,20.0,0.01,0.076,8.8,4.0,0.0
jerusalem artichoke,120.0,0.041,0.9,4.4,88.0,24.1,0.1,18.0,39.0,601.0,0.205,5.47,0.024,0.53,33.1,0.2,3.65,1.27,0.049,62.0,0.24,101.0,8.27,0.1,2.0,13.0,56.6
kale,348.0,0.053,4.1,0.9,55.0,0.5,0.0,62.0,0.0,53.0,1.18,4.42,0.113,0.39,1.49,0.0,2.92,0.66,0.147,241.0,1.6,254.0,0.178,0.347,93.4,33.0,390.0
kiwi,198.0,0.134,3.0,0.2,34.0,7.8,0.0,26.0,0.0,5.0,0.37,14.0,0.027,0.14,0.44,0.0,1.06,1.3,0.061,4.0,0.24,35.0,0.029,0.025,74.7,16.0,40.3
kumquat,186.0,0.095,6.5,0.0,19.0,8.4,0.0,17.0,0.0,10.0,0.429,15.9,0.037,0.17,0.86,0.0,1.88,0.15,0.036,15.0,0.86,62.0,0.103,0.09,43.9,20.0,0.0
lamb,255.0,0.122,0.0,30.3,165.0,109.0,0.1,17.0,105.0,394.0,5.42,0.0,0.05,7.63,13.4,2.26,28.1,0.18,0.099,0.0,2.12,20.0,5.58,0.188,0.0,22.0,4.3
lamb chop,324.0,0.129,0.0,27.2,194.0,93.0,0.1,18.0,99.0,399.0,7.04,0.0,0.099,3.45,22.9,2.45,25.0,0.13,0.129,0.0,1.8,20.0,9.75,0.248,0.0,24.0,4.8
lamb shank,255.0,0.122,0.0,30.3,165.0,109.0,0.1,17.0,105.0,394.0,5.42,0.0,0.05,7.63,13.4,2.26,28.1,0.18,0.099,0.0,2.12,20.0,5.58,0.188,0.0,22.0,4.3
leek,188.0,0.125,1.9,1.1,37.0,10.1,0.0,57.0,2.0,152.0,0.396,14.7,0.056,0.13,3.04,0.0,1.57,1.27,0.236,94.0,2.19,62.0,0.817,0.03,10.6,29.0,51.4
lemon,138.0,0.037,2.8,0.4,16.0,5.1,0.0,11.0,0.0,2.0,0.1,9.32,0.04,0.06,0.3,0.0,1.1,0.15,0.08,1.0,0.6,26.0,0.039,0.02,53.0,8.0,0.0
lemon juice,109.0,0.018,0.7,0.1,9.0,5.1,0.0,9.0,0.0,24.0,0.18,5.62,0.021,0.19,0.07,0.0,0.45,0.23,0.037,2.0,0.06,10.0,0.027,0.017,14.3,7.0,0.1
lentil,292.0,0.153,3.4,1.5,78.0,19.1,0.0,62.0,0.0,383.0,0.79,12.3,0.07,0.59,5.61,0.01,3.67,1.09,0.13,36.0,1.44,25.0,1.3,0.058,7.4,23.0,9.4
lettuce,168.0,0.027,1.2,0.4,24.0,10.2,0.0,34.0,0.0,19.0,0.249,2.92,0.056,0.16,0.14,0.0,1.13,0.2,0.066,198.0,0.64,27.0,0.019,0.053,6.0,10.0,75.2
lima bean,472.0,0.218,6.5,4.2,103.0,30.2,0.0,73.0,0.0,218.0,0.372,19.4,0.142,0.88,6.86,0.0,7.25,0.93,0.142,0.0,2.23,16.0,0.972,0.049,0.0,40.0,9.5
lime,153.0,0.195,1.3,19.4,156.0,149.0,1.2,25.0,226.0,87.0,0.197,39.8,0.091,1.35,14.6,0.43,8.82,0.84,0.129,98.0,1.41,46.0,2.65,0.289,5.0,23.0,0.7
lime juice,75.0,0.03,0.4,0.1,10.0,5.1,0.0,8.0,0.0,16.0,0.163,6.69,0.033,0.06,0.23,0.0,0.25,0.12,0.027,1.0,0.23,12.0,0.026,0.003,6.4,7.0,0.5
liqueur,0.0,0.08,0.0,0.4,0.0,0.0,0.0,0.0,0.0,5.0,0.003,41.6,0.0,0.04,0.3,0.0,0.0,0.0,0.0,0.0,0.07,0.0,0.014,0.0,0.0,0.0,0.0
lobster,202.0,0.724,0.1,39.8,166.0,79.0,1.0,17.0,171.0,476.0,1.01,4.14,0.042,2.19,20.1,0.8,11.6,0.83,0.092,147.0,0.39,111.0,11.0,0.167,0.3,26.0,1.7
lychee,171.0,0.148,1.3,0.6,31.0,7.1,0.0,14.0,0.0,1.0,0.603,16.5,0.011,0.07,0.44,0.0,0.83,0.07,0.1,0.0,0.31,5.0,0.099,0.065,71.5,10.0,0.4
macadamia nut,363.0,0.57,8.0,11.7,198.0,44.6,0.0,10.0,0.0,353.0,2.27,12.8,0.71,1.29,76.1,0.0,7.79,0.57,0.359,0.0,2.65,70.0,11.9,0.087,0.7,118.0,0.0
mango,168.0,0.111,1.6,0.6,14.0,7.6,0.0,43.0,0.0,1.0,0.669,15.0,0.028,0.09,0.38,0.0,0.82,0.9,0.119,54.0,0.16,11.0,0.092,0.038,36.4,10.0,4.2
maple syrup,6.0,0.045,0.0,0.4,10.0,0.0,0.0,0.0,0.0,61.0,0.003,69.6,0.005,0.23,0.1,0.0,0.0,0.0,0.0,0.0,0.07,5.0,0.018,0.017,0.0,2.0,0.0
marsala,286.0,0.125,0.4,10.0,153.0,64.8,0.0,27.0,68.0,144.0,6.34,6.52,0.088,1.83,8.56,0.66,16.7,0.65,0.191,39.0,1.07,9.0,3.91,0.261,1.4,21.0,19.6
marshmallow,5.0,0.097,0.1,1.7,8.0,0.1,0.0,1.0,0.0,80.0,0.078,81.3,0.001,0.04,0.2,0.0,1.8,0.0,0.003,0.0,0.23,3.0,0.056,0.001,0.0,2.0,0.0
martini,13.0,0.02,0.0,0.0,5.0,0.7,0.0,0.0,0.0,2.0,0.025,0.15,0.005,0.04,0.0,0.0,0.07,0.0,0.004,0.0,0.09,1.0,0.0,0.005,0.0,1.0,0.0
mayonnaise,20.0,0.019,0.0,2.3,21.0,34.2,0.2,5.0,42.0,635.0,0.0,0.57,0.01,0.15,74.8,0.12,0.96,3.28,0.008,16.0,0.21,8.0,11.7,0.019,0.0,1.0,163.0
meat,274.0,0.072,0.4,16.9,170.0,66.7,0.3,23.0,75.0,419.0,3.74,7.19,0.083,3.82,11.0,1.65,17.5,0.17,0.277,21.0,2.05,65.0,4.12,0.182,0.6,20.0,1.1
meatball,180.0,0.706,4.6,0.8,344.0,88.4,0.0,78.0,0.0,550.0,2.5,8.0,0.938,1.8,9.0,1.5,21.0,1.73,0.2,0.0,2.16,25.0,1.42,0.213,0.0,18.0,0.0
melon,182.0,0.06,0.9,0.4,5.0,7.6,0.0,8.0,0.0,9.0,0.232,6.58,0.015,0.07,0.1,0.0,1.11,0.05,0.163,0.0,0.34,11.0,0.025,0.031,21.8,11.0,2.5
milk,150.0,0.001,0.0,1.9,101.0,17.8,1.1,0.0,12.0,38.0,0.105,4.67,0.056,0.41,3.2,0.54,3.28,0.05,0.061,32.0,0.0,123.0,1.86,0.138,0.0,12.0,0.3
mint,1.0,0.017,0.0,0.0,3.0,0.0,0.0,0.0,0.0,4.0,0.009,5.75,0.004,0.05,0.01,0.0,0.0,0.0,0.001,0.0,0.03,0.0,0.0,0.004,0.0,0.0,0.0
molasses,1460.0,0.487,0.0,17.8,31.0,13.3,0.0,0.0,0.0,37.0,0.93,74.7,0.041,0.29,0.1,0.0,0.0,0.0,0.67,0.0,4.72,205.0,0.018,0.002,0.0,242.0,0.0
mozzarella,116.0,0.035,0.0,26.7,533.0,13.5,0.4,26.0,65.0,699.0,0.101,4.44,0.023,3.62,20.4,1.65,23.7,0.51,0.09,203.0,0.2,693.0,11.7,0.36,0.0,27.0,1.3
muffin,157.0,0.063,0.9,12.2,111.0,31.7,0.5,59.0,39.0,292.0,1.47,42.4,0.179,0.48,12.9,0.15,4.93,1.46,0.078,32.0,1.69,137.0,2.18,0.209,3.0,15.0,14.3
mushroom,186.0,0.197,1.3,13.6,80.0,18.7,0.1,78.0,10.0,317.0,3.19,21.3,0.247,0.5,12.8,0.06,4.6,1.45,0.064,4.0,1.54,25.0,1.82,0.317,0.8,11.0,14.4
mussel,320.0,0.094,0.0,44.8,197.0,65.0,0.0,42.0,28.0,286.0,1.6,3.69,0.16,1.6,2.24,12.0,11.9,0.55,0.05,48.0,3.95,26.0,0.425,0.21,8.0,34.0,0.1
mustard,150.0,0.074,4.3,34.0,108.0,22.4,0.0,7.0,0.0,1100.0,0.561,5.3,0.189,0.64,3.38,0.0,4.25,0.35,0.069,4.0,1.59,63.0,0.252,0.066,0.4,48.0,1.5
mustard greens,384.0,0.165,3.2,0.9,58.0,0.5,0.0,12.0,0.0,20.0,0.8,4.67,0.08,0.25,0.42,0.0,2.86,2.01,0.18,151.0,1.64,115.0,0.01,0.11,70.0,32.0,258.0
nectarine,131.0,0.082,1.5,0.0,26.0,6.2,0.0,6.0,0.0,13.0,1.12,9.18,0.034,0.21,0.28,0.0,1.06,0.61,0.025,21.0,0.3,2.0,0.0,0.027,2.9,9.0,2.0
noodle,38.0,0.097,1.2,23.8,76.0,25.5,0.1,137.0,29.0,236.0,2.06,25.0,0.287,0.65,2.06,0.09,4.51,0.17,0.046,6.0,1.46,12.0,0.417,0.135,0.0,21.0,0.0
nut,659.0,1.74,7.5,1920.0,725.0,28.8,0.0,22.0,0.0,3.0,0.295,11.7,0.617,4.06,67.1,0.0,14.3,5.65,0.101,0.0,2.43,160.0,16.1,0.035,0.7,376.0,0.0
oat,362.0,0.391,10.1,28.9,410.0,40.4,0.0,32.0,0.0,6.0,1.12,67.7,0.46,3.64,6.52,0.0,13.2,0.42,0.1,0.0,4.25,52.0,1.11,0.155,0.0,138.0,2.0
oatmeal,142.0,0.209,4.0,24.6,126.0,18.7,0.0,87.0,0.0,447.0,3.14,48.5,0.399,1.02,4.4,0.03,8.4,0.48,0.068,5.0,2.7,66.0,0.703,0.24,0.0,37.0,1.5
octopus,1330.0,1.65,0.0,170.0,705.0,246.0,0.0,58.0,182.0,1310.0,7.56,8.34,0.102,6.37,3.94,72.0,56.5,4.55,1.3,145.0,20.1,201.0,0.861,0.121,18.0,114.0,0.4
okra,105.0,0.075,1.6,9.5,53.0,14.8,0.1,109.0,10.0,316.0,1.8,22.1,0.241,0.44,12.7,0.04,3.76,1.56,0.033,10.0,1.5,52.0,1.82,0.173,3.6,22.0,32.5
olive,17.0,0.162,1.8,0.7,3.0,9.5,0.0,1.0,0.0,835.0,0.09,4.17,0.008,0.12,30.0,0.0,0.73,4.84,0.014,14.0,3.4,60.0,4.51,0.002,0.4,5.0,13.2
omelet,278.0,0.071,1.6,0.1,30.0,7.4,0.0,14.0,0.0,6.0,0.637,5.48,0.045,0.21,0.23,0.0,1.11,0.6,0.104,43.0,0.33,14.0,0.038,0.024,18.2,13.0,8.8
onion,146.0,0.039,1.7,0.5,29.0,6.1,0.0,19.0,0.0,4.0,0.116,9.34,0.046,0.17,0.1,0.0,1.1,0.02,0.12,0.0,0.21,23.0,0.042,0.027,7.4,10.0,0.4
orange,181.0,0.045,2.4,0.5,14.0,8.4,0.0,30.0,0.0,0.0,0.282,11.8,0.087,0.07,0.12,0.0,0.94,0.18,0.06,11.0,0.1,40.0,0.015,0.04,53.2,10.0,0.0
orange juice,178.0,0.042,0.3,0.1,28.0,6.2,0.4,19.0,0.0,2.0,0.28,11.4,0.046,0.07,0.12,0.0,0.68,0.2,0.076,2.0,0.13,56.0,0.014,0.039,33.6,11.0,0.0
oyster,136.0,0.726,1.2,12.6,67.0,24.2,0.4,46.0,10.0,510.0,1.84,18.4,0.148,10.0,10.8,1.95,4.96,1.34,0.071,100.0,2.44,96.0,2.14,0.113,1.8,18.0,32.5
pancake,62.0,0.123,0.7,8.6,62.0,3.3,0.0,154.0,0.0,5.0,2.38,45.4,0.262,0.62,0.38,0.0,4.05,0.06,0.088,0.0,2.32,17.0,0.102,0.025,0.0,15.0,0.1
papaya,31.0,0.013,0.6,0.3,0.0,2.0,0.0,2.0,0.0,5.0,0.15,14.5,0.006,0.15,0.15,0.0,0.17,0.24,0.009,18.0,0.34,10.0,0.047,0.004,3.0,3.0,0.8
