ingr,Potassium,Copper,Dietary Fiber,Selenium,Phosphorus,Choline,Vitamin D,Folate,Cholesterol,Sodium,Niacin,Total Carbohydrate,Thiamin,Zinc,Total Fat,Vitamin B12,Protein,Vitamin E,Vitamin B6,Vitamin A,Iron,Calcium,Saturated fat,Riboflavin,Vitamin C,Magnesium,Vitamin K
candy,0.0010638297872340426,0.03222222222222222,0.0,0.010909090909090908,0.0024,0.0,0.0,0.0,0.0,0.01652173913043478,0.00043749999999999995,0.3563636363636364,0.0033333333333333335,0.0009090909090909091,0.002564102564102564,0.0,0.0,0.0,0.0017647058823529412,0.0,0.016666666666666666,0.002307692307692308,0.0,0.0023076923076923075,0.0,0.007142857142857143,0.0
cantaloupe,0.012127659574468085,0.04,0.010714285714285714,0.014545454545454545,0.0056,0.005454545454545455,0.0,0.0075,0.0,0.005652173913043478,0.0155625,0.05672727272727272,0.013333333333333334,0.01636363636363636,0.0014102564102564104,0.0,0.0066,0.0013333333333333333,0.008235294117647058,0.07666666666666666,0.008888888888888889,0.0038461538461538464,0.001,0.00923076923076923,0.03333333333333333,0.014285714285714285,0.009166666666666667
caramel,0.050851063829787234,0.21222222222222223,0.024999999999999998,0.038181818181818185,0.112,0.02072727272727273,0.0,0.035,0.02,0.09478260869565218,0.016,0.2545454545454545,0.10750000000000001,0.06636363636363636,0.18461538461538463,0.11250000000000002,0.11539999999999999,0.03266666666666666,0.06411764705882353,0.012222222222222223,0.024444444444444446,0.10307692307692308,0.144,0.18769230769230769,0.005555555555555556,0.07857142857142857,0.01583333333333333
caraway,0.0019148936170212765,0.016666666666666666,0.0,0.0,0.0,0.0007272727272727273,0.0,0.0025,0.0,0.0004347826086956522,0.0,0.0007272727272727273,0.008333333333333333,0.0036363636363636364,0.0,0.0,0.0,0.0,0.0,0.0,0.0044444444444444444,0.0015384615384615385,0.0001,0.003076923076923077,0.0,0.002380952380952381,0.0
carrot,0.06808510638297872,0.049999999999999996,0.09999999999999999,0.0018181818181818182,0.028,0.016,0.0,0.0475,0.0,0.03,0.0614375,0.03483636363636364,0.05500000000000001,0.021818181818181816,0.003076923076923077,0.0,0.018600000000000002,0.044000000000000004,0.08117647058823531,0.9277777777777778,0.016666666666666666,0.025384615384615384,0.0016,0.04461538461538461,0.06555555555555556,0.02857142857142857,0.11
cashew,0.09510638297872341,1.9555555555555555,0.10714285714285714,0.1690909090909091,0.3104,0.08781818181818181,0.0,0.1375,0.0,0.1282608695652174,0.069375,0.11018181818181819,0.13166666666666668,0.4027272727272727,0.6794871794871795,0.0,0.242,0.33866666666666667,0.11941176470588237,0.0,0.2727777777777778,0.04692307692307692,0.53,0.12230769230769231,0.0,0.49047619047619045,0.2525
cauliflower,0.0325531914893617,0.06888888888888889,0.05714285714285715,0.17272727272727273,0.0456,0.05090909090909091,0.005,0.225,0.03333333333333333,0.14217391304347826,0.11,0.0789090909090909,0.1925,0.03272727272727272,0.16282051282051282,0.016666666666666666,0.078,0.09866666666666667,0.049411764705882356,0.0044444444444444444,0.0811111111111111,0.024615384615384615,0.0925,0.12230769230769231,0.1788888888888889,0.030952380952380953,0.17083333333333334
caviar,0.03851063829787234,0.12222222222222222,0.0,1.190909090909091,0.2848,0.8927272727272727,0.145,0.125,1.96,0.6521739130434783,0.0075,0.014545454545454545,0.15833333333333335,0.08636363636363636,0.22948717948717948,8.333333333333334,0.49200000000000005,0.126,0.18823529411764706,0.3011111111111111,0.6611111111111111,0.21153846153846154,0.20299999999999999,0.4769230769230769,0.0,0.7142857142857143,0.005
celery,0.05531914893617021,0.03888888888888889,0.05714285714285715,0.007272727272727273,0.0192,0.01109090909090909,0.0,0.09,0.0,0.034782608695652174,0.02,0.0108,0.0175,0.011818181818181818,0.00217948717948718,0.0,0.0138,0.018000000000000002,0.04352941176470589,0.024444444444444446,0.011111111111111112,0.03076923076923077,0.0021000000000000003,0.04384615384615385,0.034444444444444444,0.02619047619047619,0.24416666666666667
champagne,0.017659574468085106,0.042222222222222223,0.0035714285714285718,0.0036363636363636364,0.0088,0.005454545454545455,0.0,0.0175,0.0,0.0017391304347826088,0.008375,0.04436363636363636,0.02,0.009090909090909092,0.0010256410256410256,0.0,0.0032,0.0006666666666666666,0.03235294117647059,0.0,0.013888888888888888,0.006153846153846154,0.00025,0.013076923076923078,0.044444444444444446,0.01904761904761905,0.0008333333333333334
